Size	P1	P2	P3	P4
1000	177931.0	113810.84	206780.27	208936.64
2000	133645.3	125652.68	143461.81	131411.12
3000	193859.36	134420.52	509398.75	245742.56
4000	192387.0	117924.02	126910.33	124697.02
5000	248183.8	142451.2	155161.2	154593.14
6000	312359.1	164415.4	174969.14	181717.36
7000	366947.62	193150.69	195711.72	203531.58
8000	438006.0	215496.8	232728.48	228041.56
9000	489777.12	229436.02	233095.2	234237.02
10000	560362.4	256185.98	254080.95	259326.5
11000	637405.4	274812.12	276225.72	278606.25
12000	710509.94	305107.28	305569.03	310538.9
13000	798264.2	323963.4	336101.56	327555.9
14000	896456.4	353513.72	354058.97	352181.9
15000	970140.3	375320.25	364766.56	382104.62
16000	1060001.6	394683.6	392992.72	393861.0
17000	1160823.1	419301.9	408790.03	421350.0
18000	1261409.1	459493.38	449885.84	438735.47
19000	1383833.9	469270.03	464651.44	470126.88
20000	1483000.6	503509.2	478203.16	490721.25
21000	1593840.1	524240.4	510398.1	515835.47
22000	1716310.5	549419.25	531923.44	540045.3
23000	1822976.0	578376.8	546793.6	560470.75
24000	1947580.0	602178.2	569808.5	573640.5
25000	2088102.9	625289.94	594812.5	597856.0
26000	2004353.2	583168.25	558597.5	575684.75
27000	1736853.6	497152.3	475946.1	488300.84
28000	1829845.9	509404.53	490291.88	487499.12
29000	1915375.5	528775.4	494344.38	503824.56
30000	2036305.1	543715.8	518670.1	521639.53
31000	2137062.0	578072.8	527341.0	535478.06
32000	2228965.5	587277.6	548817.0	570406.94
33000	2362884.5	611327.94	570313.8	575230.7
34000	2506067.2	630140.25	587049.7	600855.9
35000	2762726.0	708634.75	644315.1	641336.2
36000	2901790.0	733273.94	661991.4	673495.06
37000	3042012.5	731788.3	681018.4	699509.75
38000	3201735.2	763869.2	719235.94	730017.6
39000	3336397.0	785611.2	718128.3	730374.75
40000	3462855.2	810185.8	737421.4	739494.06
41000	3611883.8	830911.4	769914.56	765624.75
42000	3761508.8	841976.2	768457.4	785993.06
43000	3938522.2	880602.06	794899.5	797739.8
44000	4093049.0	922018.9	833398.25	831456.56
45000	4210271.5	918891.75	836958.56	844045.06
46000	4403276.0	944672.8	851773.6	859078.56
47000	4548071.5	968232.9	867808.5	873960.06
48000	4708984.0	1001793.8	885864.75	913955.94
49000	4860421.5	1021233.2	900411.8	917518.2
50000	5536922.0	1167632.2	1042426.0	1068005.6

